gene	differential_expression_T_test_p_value	out_aug/HAP1_KO1_a_L000/HAP1_KO1_a_L000_gene_featureCounts_only_count.csv_quantile_normalized_RPKM	out_aug/HAP1_KO1_b_L000/HAP1_KO1_b_L000_gene_featureCounts_only_count.csv_quantile_normalized_RPKM	out_aug/HAP1_KO1_c_L000/HAP1_KO1_c_L000_gene_featureCounts_only_count.csv_quantile_normalized_RPKM	out_aug/HAP1_P1_a_L000/HAP1_P1_a_L000_gene_featureCounts_only_count.csv_quantile_normalized_RPKM	out_aug/HAP1_P1_b_L000/HAP1_P1_b_L000_gene_featureCounts_only_count.csv_quantile_normalized_RPKM	out_aug/HAP1_P1_c_L000/HAP1_P1_c_L000_gene_featureCounts_only_count.csv_quantile_normalized_RPKM	HAP1_P1	HAP1_KO1	rratio
FAM166AP3	0.038474267385192	3.5962432005801013	1.7366249089352983	2.7223032627122223	0.0259921694248152	0.026446493266644	0.0262891641050826	0.0262426089321806	2.685057124075874	-1.9612840902646118
RP11-561I11.3	0.0235360702745903	2.4086028664068806	2.160583489473145	1.3923323095730478	0.0282212670316632	0.0287482929245832	0.0285212315124625	0.028496930489569635	1.987172888484358	-1.9434492093470428
AC009299.4	0.0369365577857526	0.9285852489371456	1.5559881166726568	1.892339182594123	0.0302669393762042	0.0308035680806052	0.0306113050825626	0.030560604179790663	1.4589708494013083	-1.9179323025201853
FAM41C	0.0247345484959086	1.2544499982890018	0.7286792666443113	1.2346384250110976	0.0783053318940466	0.011233818924653	0.0112089156193575	0.0335826888126857	1.07258922998147	-1.878562497412538
ARSE	0.0094451531792188	1.9463685606265395	1.3515787974985187	1.919063326489143	0.0528461787159909	0.0076721189269319	0.1827046927817706	0.08107433014156447	1.739003561538067	-1.821822284612784
RP11-442H21.2	0.0116039130699482	7.802193390027539	5.986728016663858	5.3035274442690445	0.6254386936753286	0.3293435657787841	0.025959325851505	0.3269138617685392	6.364149616986814	-1.8045668747238663
RP11-422P24.12	0.0228177649365392	1.2831125380795447	1.426049071817408	0.8204944052682411	0.0306113050825626	0.0311373443431687	0.1340123933657247	0.06525368093048534	1.1765520050550646	-1.7898103329146953
RP4-590F24.2	0.002486729609	1.2613384126845448	0.9503211072661584	1.1732789888171096	0.146780035939991	0.0104175155751149	0.0311205141653921	0.062772688560166	1.1283128362559376	-1.7891916667533752
MIR4419A	0.0237361198201015	5.804423905701358	5.755238187520516	3.548139741928756	0.2801152610820507	0.3031276499229413	0.2983760039560845	0.29387297165369214	5.03593394505021	-1.77944944254346
INHBE	1.90175975375577e-06	12.441246289220029	11.796612034163251	12.267775345895158	0.6680242946171328	1.075267849225389	0.416536468378078	0.7199428707401999	12.168544556426147	-1.7765624943008582
CHAC1	1.9695462352555468e-08	126.26270741134904	124.20863798478466	125.88753060581304	9.523289481567955	9.556229902393278	7.70954747122027	8.929688951727167	125.45295866731557	-1.7342011305792495
RP11-125O18.1	0.0046988861386139	21.245314902664145	17.2711756290997	17.496440913489558	1.510589236005553	0.973833201667952	1.6081148302869857	1.3641790893201635	18.6709771484178	-1.7276429346229678
HTR7	0.0079517266284086	2.4336103195727907	1.935622827705244	1.887857539603292	0.142385799911682	0.1785023077184545	0.1711334505554107	0.16400718606184905	2.085696895627109	-1.7083933173313688
RP11-159F24.5	0.047071739410221	1.439625464564475	1.29296061428667	0.6614762436865914	0.0423568881885819	0.1402808533021891	0.0904480398177626	0.09102859376951121	1.1313541075125788	-1.7021273495639742
DDIT4	0.0140667104381115	7.415572049061256	5.500028678448335	4.792367870345655	0.9540931856292496	0.2920156954473872	0.1927329956582459	0.47961395891162756	5.902656199285082	-1.699408550861381
BARX1	0.0432800982114976	1.4939569518904945	1.1115796423702482	0.7277755575679546	0.1249303888343893	0.0749716389696335	0.0748411919741521	0.09158107325939163	1.1111040506095657	-1.6954113044492263
AC083822.2	0.0281480763378216	1.5814119341433373	1.337316757092063	0.9026674435524294	0.1109626815733939	0.1192376045243081	0.1184286399048021	0.11620964200083468	1.2737987115959433	-1.6655857737829236
RP11-108M12.3	0.0315500215439793	0.8801715529099545	1.071856846745394	1.6201044713978972	0.0139320556380132	0.233142700418366	0.0877798862259459	0.11161821409410837	1.1907109570177485	-1.6571735731026744
AC007009.1	0.0088458258416136	0.7682287101619826	1.1513882762240106	1.0904672152045016	0.195798950056411	0.0517242222215338	0.0514715839508987	0.09966491874294782	1.003361400530165	-1.638576461861304
CPA2	0.0015502673872291	1.3797139978886035	1.0621515269015809	1.2957879707857398	0.1956365133987364	0.1783124766143715	0.0238665748020222	0.13260518827171003	1.2458844985253081	-1.6152160163640423
STC1	0.0356034209657299	2.568612077126606	2.373806080490531	1.3605721033507914	0.3376260982116945	0.1439359082093046	0.2318602585695186	0.2378074216635059	2.100996753655976	-1.5932837401728661
RP11-123K3.9	0.0125924158509344	5.499024639689473	7.129965805976973	4.97342088264593	0.7200198928487714	0.9017789521701928	0.4410012301345697	0.6876000250511779	5.8674704427707915	-1.58041639465112
MIR3189	0.041862343545261	3.5977635315384497	2.2978344431901934	1.9991093697988669	0.2962409862217676	0.3181968477513253	0.314894791201504	0.30977754172486566	2.6315691148425033	-1.5787269194765576
LY96	0.0118136122253164	1.0340707065058017	1.3975591956808255	0.8969678603832656	0.1103768376714101	0.2641888612974041	0.0359200747097831	0.1368285912261991	1.1095325875232975	-1.5608701761282957
TPRXL	0.0033645475533614	0.9518851740171156	1.3238544473895215	1.0909259674757357	0.0641657685496223	0.2680070254342586	0.0934780446060757	0.14188361286331885	1.1222218629607907	-1.5510386891700771
EYA1	2.764335893824371e-06	6.956389036199181	7.278547256336371	6.929038621596426	0.9272887966931144	1.0793049298908732	0.7596460972403287	0.9220799412747721	7.054658304710659	-1.5376155451815958
PHYHD1	0.0027143075783454	2.2598612901084305	1.817491530565041	1.84117686991972	0.3385960228418923	0.1696922193040531	0.3633117302694749	0.2905333241384734	1.9728432301977306	-1.4865488491839924
RP11-80H5.2	0.0080617578060843	1.9860944549315451	2.1051185767392835	1.3886580999409708	0.3962363183124662	0.0361661532576026	0.3881298807009218	0.2735107840903302	1.8266237105372662	-1.4790604415288553
RP11-286O18.1	0.0047797661493297	4.3241954140120535	3.0478842378329367	3.265989010761027	1.0530726253564442	0.1222046605750587	0.4220621635113088	0.5324464831476039	3.546022887535339	-1.4777977375777667
RP11-148O21.4	0.0214896952944206	2.882324955173904	1.955168188426828	1.7222417424615928	0.5496449045614024	0.3959248731243132	0.0402213714011511	0.3285970496956222	2.186578295354108	-1.47741687219962
FMO4	0.0490507230029195	1.7730600445353897	1.4174158132847143	0.7598181006310182	0.4291517706909478	0.1037624053606569	0.0616900541888392	0.198201410080148	1.3167646528170407	-1.4766842243287963
DCAF12L2	0.0056054153136627	6.71677260025409	7.720179052754086	9.557477067386738	1.1122839579212913	0.5366103867524701	1.9804247382882625	1.209773027654008	7.9981429067983045	-1.4744639128915047
LRRIQ4	0.0331883710088428	0.6781703093358655	1.2322986790369077	1.391002208439631	0.0119634286458082	0.3590400662982042	0.1429020914754704	0.1713018621398276	1.100490398937468	-1.4612269082539528
CNPY1	0.0002763138214774	1.3006494223703873	1.5401465622138255	1.377535654216306	0.1685378886285947	0.3285001163313732	0.1678074897337126	0.22161516489789349	1.4061105462668397	-1.4553992398650144
CACNG5	0.0367274524313212	1.156447060891613	1.3253241102626363	0.6367297364410799	0.0496609959501138	0.1091849691555557	0.3327844563794195	0.16387680716169634	1.0395003025317764	-1.4552769673226063
MIR3651	0.0319428597596738	11.883623339852567	9.681334499623585	5.635625752646901	3.795098207868229	0.2545457313720005	0.2540046204155092	1.4345495198852463	9.066861197374351	-1.4535783587523181
RN7SL751P	0.0026000071739285	1.834010735508517	2.21092881193267	1.6078242722469749	0.2305150806536841	0.5884429345457728	0.079685057991223	0.29954769106355994	1.8842546065627206	-1.4513281877408808
FAM127C	0.0035591237722294	30.802860701564025	36.91601290209046	35.042171057571394	5.374458826346689	5.847272305321442	5.148108978388434	5.456613370018855	34.25368155374196	-1.4503578096818548
SNORA84	0.0339146689242174	8.129985153778835	6.531573619111718	3.795098207868229	2.5960545183583235	0.175508215759977	0.1747729390533803	0.982111891057227	6.152218993586261	-1.4493600552387027
OLFML3	0.0053712598854777	14.9068315259017	14.648891524261256	18.2885009187745	2.5924645512979625	3.0819368485450376	2.0959561130317077	2.590119170958236	15.948074656312485	-1.4411280419027608
HHIP-AS1	0.0006874507198981	6.887035593936118	5.759924971013081	5.739141896821227	0.7891633110965269	0.7104099047122405	1.5372647366862655	1.0122793174983444	6.128700820590143	-1.432974578882213
RP11-227H15.5	0.0148761928869149	1.2787747322352838	1.2859041275739638	0.7830356913186041	0.0500493968064318	0.0509559158654175	0.4913433069563306	0.19744953987605995	1.1159048503759506	-1.3986404847265246
RP11-1136J12.1	0.0246884079743862	1.279942850364857	0.7014029322034924	1.2356229390254514	0.3611052252567386	0.0303033913179792	0.1861562484395148	0.19252162167141088	1.0723229071979337	-1.391161151344007
CTD-2377D24.4	0.0021337260581307	5.571747378717426	4.393003852797037	5.172209310555196	0.6696936275727645	0.8403188818238193	1.2217618285934262	0.91059144599667	5.045653514023219	-1.3884795188184273
RP11-277I20.3	0.0225187087794948	5.4256797772549135	6.248402144478171	6.923805936104157	0.2749861107008639	3.125402822649697	0.0566504857670542	1.152346473039205	6.199295952612413	-1.3730127738430826
TXNP6	0.0074781840965038	2.78474733084663	3.1200029569057617	3.25613392715437	0.1439067287536136	1.1911043886477806	0.3732274526090367	0.5694128566701436	3.0536280716355875	-1.3713426174995795
MIR6775	0.0173513450983847	13.58448835820466	9.857176325465083	9.614040821957564	2.356765366767591	2.3038918045533965	1.6090957755667994	2.089917648962596	11.01856850187577	-1.3622703262866298
ARNTL2-AS1	0.0033695002173177	1.0783780634934823	1.513079069336314	1.2965372850670718	0.4052191817662227	0.055191930041545	0.2845163075661517	0.24830913979130645	1.2959981392989561	-1.3568400715236333
AC007405.8	0.0439272310841223	2.509230027538978	1.191202353863786	1.8569219001928543	0.370367790250207	0.0822132192344589	0.6152713454610597	0.3559507849819085	1.8524514271985393	-1.3552790646220854
RP11-382J24.2	0.0200364385636952	1.095121972813652	1.9636326526645345	1.5513142699336335	0.2597041657878127	0.5770836730163544	0.0534447559548015	0.29674419825298953	1.53668963180394	-1.3525936013872388
HHIP	0.0065802102470589	2.1753402105291606	1.7645162570062265	2.230675724232301	0.4429395473879813	0.3576027798124757	0.4120726890953912	0.4042050054319494	2.0568440639225627	-1.3430362515478573
MIR4450	0.0476684506317098	8.154938166479207	3.5654725964785263	6.906980138509731	3.0969780935427718	0.3599553957962505	0.3540255534663465	1.270319680935123	6.2091303004891545	-1.3206347075840879
RP11-9M16.2	0.0421098646465413	3.122721285313153	1.4344419255468008	2.531751547827228	1.1939209017422838	0.1385146969935033	0.1376678598833847	0.4900344862063906	2.3629715862290603	-1.312956967121944
DDR2	0.0046267318677035	2.220980734371459	1.8181134255792928	1.8350640043374251	0.3782179970985784	0.4807863926070621	0.3711619080604234	0.410055432588688	1.9580527214293924	-1.3073704308767693
LINC00494	0.0225344301500154	1.3075370939639768	2.174836399628767	1.662402158085416	0.260160218090628	0.2778435579606917	0.5407607517868301	0.3595881759460499	1.7149252172260532	-1.3066553783078552
RP11-383B4.4	0.013438352637179	1.1473726071628303	1.143816498708098	1.712134180799148	0.5690243187155558	0.2195802575840866	0.0535803687005408	0.28072831500006107	1.334441095556692	-1.3047706001235047
S100A16	0.0048801113180256	3.2244652624487835	2.9352545303821453	3.953171499890189	0.6343116183934101	0.5120348420624089	0.9977817098550186	0.7147093901036126	3.3709637642403725	-1.3002774689955643
RP11-6E9.4	0.0280236583821635	1.7711886201695173	3.190384650647617	2.168466638426633	0.1906465638210667	0.1700511907222202	1.1784852824892929	0.5130610123441932	2.3766799697479226	-1.2898173012409615
MYO3B	0.0117356652022086	1.391002208439631	1.7815540180234433	1.3546310904003585	0.2893038610505903	0.3583948796751375	0.3362460536329472	0.32798159811955835	1.5090624389544776	-1.2858492414978724
RPRM	0.0309248209850572	1.696306024094575	3.012301309315309	1.9042247372088736	0.9844927976409408	0.0605891636414602	0.4011743846193814	0.48208544863392744	2.204277356872919	-1.282173729258479
MAP2	2.920444318655409e-05	5.811056843934726	5.861288242982099	6.301126971528142	1.5069517295642645	1.0014582327529125	1.4229863085533658	1.3104654236235143	5.99115735281499	-1.2820963428282077
SYCP3	0.0025232018442777	7.551953269650849	7.132036039848796	6.278328015908645	1.7237641881692216	1.3310732062056074	1.562485786065956	1.5391077268135949	6.98743910846943	-1.2779690270651018
RP5-855D21.1	0.0111410400936952	0.8274606044527736	1.1056609563990374	1.3230556133167262	0.2394439284904483	0.0405810576703665	0.4375100753719769	0.2391783538442639	1.0853923913895125	-1.2777181446747088
MEIS3P2	0.0028460997808821	1.749551895154349	1.7567281257883434	2.202518484190089	0.2598509032192051	0.4716527707958561	0.5283827387877901	0.4199621376009504	1.9029328350442605	-1.2768297446996222
SLC6A9	1.1897401245402833e-05	34.40971296935326	33.095034137444834	34.0367865788402	7.847936859733994	7.172232895379966	7.585157259913888	7.535109005009282	33.84717789521276	-1.2716585216107184
LINC00365	0.020046064354369	2.00466587317133	1.5125281630972924	1.2556448911434803	0.3110020122034134	0.5166173308559364	0.2457883080218754	0.35780255036040837	1.5909463091373677	-1.2655748356355785
GDF15	0.0228546553122596	2.429322100888101	1.4383022133707246	2.5601860294616543	0.0627567840926193	0.4305493145539112	0.9616922098373758	0.4849994361613021	2.1426034479068266	-1.2616853344133763
SLC12A3	5.337084830643843e-05	11.661683302358512	12.642502859824612	11.468160569792872	2.1972370747032017	3.228975058183964	2.7553342434117494	2.7271821254329716	11.924115577325331	-1.2554428472449801
RP11-452J6.2	0.041640594550164	2.5357043498698166	1.585709969110033	3.302822885437157	1.310339954110242	0.1072072840891714	0.3114005918522732	0.5763159433505622	2.4747457348056687	-1.2444388161974722
RGL3	0.0003153556888475	5.526416903077501	5.71688577754075	5.90676641691032	1.2837216256301305	1.3567106024524225	1.3741040339887751	1.338178754023776	5.7166896991761895	-1.2412735897765457
SLC7A11	0.0040625787196165	7.03739332859801	5.6585473611256765	6.850639477075512	1.7417113499778407	1.5699503597498428	1.2653846911558622	1.5256821336278488	6.5155267222664	-1.2410682717141386
CTB-191K22.5	0.0110621948207069	2.056546360552665	1.5338677279865172	1.6358600685833984	0.047493655872678	0.8245185733650425	0.3522708186931895	0.4080943493103033	1.7420913857075269	-1.240820283263726
HRK	0.0129930185005032	1.3312266787837108	1.1232625981345603	1.6081148302869857	0.3826213070648496	0.2486662107373563	0.3307234731406059	0.3206703303142706	1.354201369068419	-1.2341614454827539
BCHE	0.0044415147733922	1.2382202763567527	1.303045313708951	1.629354035874777	0.4506016938017441	0.2307495784371936	0.3350753173106797	0.3388088631832058	1.3902065419801604	-1.216180810948429
ASNS	0.0028458286785092	30.025253123411204	32.07471817640154	34.91201537150494	7.582300498955011	8.167120136658944	8.251031576356064	8.00015073732334	32.33732889043923	-1.2066781751215636
RP5-912I13.2	0.0102977554516988	0.9434275962283276	1.4427919682835115	1.1223477998809364	0.2743887135745993	0.4905916710548445	0.1039896713962349	0.2896566853418929	1.169522454797592	-1.2059736124950244
RNU7-110P	0.0148353547261325	5.205539621561393	3.39906309974725	3.7185901520604814	1.3402367202344838	0.3837849858137149	1.4312039353762305	1.0517418804748095	4.107730957789708	-1.184612914191767
RARRES3	0.0155765013739079	1.7384186541275746	1.6812553575576767	1.0809380501787282	0.2173636058199007	0.707225003493969	0.2291578406553498	0.3845821499897398	1.5002040206213267	-1.1838179715313715
POF1B	0.0001775966650784	11.598679046060298	11.220834561329651	11.21249002431829	2.441944476702557	2.940784623227664	3.412340026227698	2.9316897087193063	11.344001210569415	-1.1785505233212556
