gene	out_aug/HAP1_KO1_a_L000/HAP1_KO1_a_L000_gene_featureCounts_only_count_zscoreLog_of.csv_quantile_normalized_RPKM	out_aug/HAP1_KO1_b_L000/HAP1_KO1_b_L000_gene_featureCounts_only_count_zscoreLog_of.csv_quantile_normalized_RPKM	out_aug/HAP1_KO1_c_L000/HAP1_KO1_c_L000_gene_featureCounts_only_count_zscoreLog_of.csv_quantile_normalized_RPKM	out_aug/HAP1_P1_a_L000/HAP1_P1_a_L000_gene_featureCounts_only_count_zscoreLog_of.csv_quantile_normalized_RPKM	out_aug/HAP1_P1_b_L000/HAP1_P1_b_L000_gene_featureCounts_only_count_zscoreLog_of.csv_quantile_normalized_RPKM	out_aug/HAP1_P1_c_L000/HAP1_P1_c_L000_gene_featureCounts_only_count_zscoreLog_of.csv_quantile_normalized_RPKM
FAM166AP3	-0.4982081983511595	-0.9394358401186298	-0.6707136220439952	-1.7706649617423529	-1.7471009146010719	-1.759213053860002
RP11-561I11.3	-0.7538360859791011	-0.8163195171038196	-1.0486517498078607	-1.7688207617054021	-1.745213065641895	-1.7573721462587126
AC009299.4	-1.240842456343193	-0.9978063637216715	-0.8863905055414616	-1.7671318296845058	-1.743530972980885	-1.7556519670664428
FAM41C	-1.1073411320948858	-1.332098180960522	-1.106948209449783	-1.7284061127409744	-1.7596852452138803	-1.7717564601163207
ARSE	-0.8784524519818689	-1.0690546795243978	-0.8785276236434105	-1.7487097864101793	-1.7626589252195035	-1.639011789153589
RP11-442H21.2	0.05741831209072534	-0.13825346076745668	-0.22036980044826926	-1.3796771543980877	-1.529168641624075	-1.7594854289267512
RP11-422P24.12	-1.096537825707665	-1.0424048390869258	-1.282182441903589	-1.7668478469733657	-1.7432581180749236	-1.6746361853756075
RP4-590F24.2	-1.1047323074565782	-1.228979590661412	-1.1307512157539712	-1.676088854525317	-1.760365854510401	-1.755233404634837
MIR4419A	-0.16271440608073698	-0.16705481613532722	-0.49940830855525836	-1.582622407034913	-1.545955456168695	-1.5599446568981838
INHBE	0.4194153086557727	0.37903743335847656	0.4158868327542566	-1.3577006540490815	-1.153783055168014	-1.4861394387459987
CHAC1	2.3416693314259813	2.3286405094448774	2.3462661518248256	0.2075086031948541	0.21713102593121023	0.05283409591964295
RP11-125O18.1	0.8502294328672807	0.6834655507293793	0.6999258188729047	-1.010254369582983	-1.1960179205380672	-0.9689019825783706
HTR7	-0.7475853138662933	-0.8794345735837433	-0.8877162217661744	-1.6793512078439283	-1.6306757324352845	-1.6473429046575248
RP11-159F24.5	-1.0398389697489112	-1.0906322013602492	-1.3603235691158655	-1.7572181875591049	-1.6584625583544723	-1.7078300936609885
DDIT4	0.01900861216461871	-0.19997413580149184	-0.2926689268891446	-1.223195827576058	-1.5531729145396729	-1.6318572338020159
BARX1	-1.0210039693567823	-1.1610732188779715	-1.326872003453213	-1.6924355203534094	-1.7081709405614303	-1.7200453636250326
AC083822.2	-0.9915313455214716	-1.0742546544031681	-1.2444387995797015	-1.7030525756657635	-1.6741611966900252	-1.6863614279589225
RP11-108M12.3	-1.2625828426892247	-1.1773065811534822	-0.9709006076280975	-1.7807126641982916	-1.5924789050161758	-1.709905982003518
AC007009.1	-1.3150743524516157	-1.1451083029289726	-1.1639644527633262	-1.6405210401834793	-1.7265972833395624	-1.7386721543664658
CPA2	-1.0611009483524065	-1.1813201258226755	-1.0838681789472893	-1.6406364784286125	-1.6308114995073928	-1.7612156317300627
STC1	-0.7146079291036052	-0.7605147617138938	-1.0600775478669813	-1.545278721439935	-1.6557653810689468	-1.604506149446939
